Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-12-29 12:30 (EST),On Demand,Chelsea Jackson Roberts,5,Meditation,Mindfulness,5 min Family Meditation,2020-07-28 10:00 (EST),,,,,,,,,,
2020-12-30 11:52 (EST),On Demand,Kendall Toole,15,Cycling,Low Impact,15 min Low Impact Ride,2020-12-14 12:08 (EST),130,145,44%,83,18.78,4.69,223,150.36,,
2020-12-30 12:09 (EST),On Demand,Kendall Toole,5,Cycling,Low Impact,5 min Cool Down Ride,2020-11-30 09:00 (EST),25,84,42%,63,14.83,1.23,62,134.84,,
2020-12-30 12:15 (EST),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-08 10:00 (EST),,,,,,,46,115.09,,
2020-12-31 13:02 (EST),On Demand,Olivia Amato,5,Cycling,Low Impact,5 min Warm Up Ride,2020-02-23 07:30 (EST),35,116,37%,92,17.03,1.41,56,127.09,,
2020-12-31 13:09 (EST),On Demand,Olivia Amato,15,Cycling,Intervals,15 min Intro to HIIT Ride,2020-12-23 10:00 (EST),127,142,42%,82,17.90,4.47,225,151.35,,
2020-12-31 13:26 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-18 07:00 (EST),,,,,,,52,122.54,,
2021-01-01 10:22 (EST),On Demand,Leanne Hainsby,30,Cycling,Music,30 min Broadway Ride,2019-10-17 13:18 (EST),248,138,45%,77,18.02,9.01,470,155.74,,
2021-01-01 10:53 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-21 08:30 (EST),,,,,,,57,129.13,,
2021-01-01 11:00 (EST),On Demand,Ally Love,10,Strength,Arms & Light Weights,10 min Soca Arms Toning,2020-09-05 14:02 (EST),,,,,,,110,125.66,,
